Reaction,Comp2GPR rules,yeast9 rules,Exact Match
r_0001,(YDL174C and YEL039C) or (YDL174C and YJR048W) or (YEL039C and YEL071W) or (YEL071W and YJR048W),(YDL174C and YEL039C) or (YDL174C and YJR048W) or (YEL039C and YEL071W) or (YEL071W and YJR048W),True
r_0002,(YDL178W and YEL039C) or (YDL178W and YJR048W),(YDL178W and YEL039C) or (YDL178W and YJR048W),True
r_0003,YAL060W,YAL060W,True
r_0004,(YEL039C and YML054C) or (YJR048W and YML054C),(YEL039C and YML054C) or (YJR048W and YML054C),True
r_0005,(YLR342W and YPR165W) or (YGR032W and YPR165W) or (YMR306W and YPR165W),(YPR165W and YLR342W) or (YPR165W and YGR032W) or (YPR165W and YMR306W),True
r_0006,YGR143W or YPR159W,YGR143W or YPR159W,True
r_0007,YIL020C,YIL020C,True
r_0012,YHR037W,YHR037W,True
r_0013,YEL038W and YMR009W,YEL038W and YMR009W,True
r_0014,YOL066C,YOL066C,True
r_0015,YBR153W,YBR153W,True
r_0016,YMR108W and YCL009C,(YCL009C and YMR108W) or YMR108W,False
r_0017,YNL256W,YNL256W,True
r_0018,YER152C or YGL202W or YJL060W,YER152C or YGL202W or YJL060W,True
r_0019,YHR063C,YHR063C,True
r_0020,YDR035W or YBR249C,YDR035W or YBR249C,True
r_0021,YDR204W and YOL096C and YOR125C and YML110C and YGR255C and YLR201C,YDR204W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C,True
r_0022,YDR204W and YOL096C and YOR125C and YML110C and YGR255C and YLR201C,YDR204W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C,True
r_0023,YGL009C,YGL009C,True
r_0024,YNL104C or YOR108W,YNL104C or YOR108W,True
r_0025,YNL104C,YNL104C,True
r_0026,YHR208W or YJR148W or YGL202W or YHR137W,YHR208W or YJR148W or YGL202W or YHR137W,True
r_0027,YDR234W,YDR234W,True
r_0028,YPR001W,YPR001W,True
r_0029,,,True
r_0030,,,True
r_0032,YOL064C,YOL064C,True
r_0033,YGL248W or YOR360C,YGL248W or YOR360C,True
r_0034,YOR360C,YOR360C,True
r_0035,YOR360C,YOR360C,True
r_0036,YOR360C,YOR360C,True
r_0037,YOR360C,YOR360C,True
r_0038,YDR487C,YDR487C,True
r_0039,YDR127W,YDR127W,True
r_0040,YDR127W,YDR127W,True
r_0041,YBR265W,YBR265W,True
r_0042,YBR249C or YDR035W,YBR249C or YDR035W,True
r_0043,(YCL017C and YKL192C and YPL135W and YDL120W and YPL252C and YER048W-A) or YDR376W,YPL252C or YDR376W,False
r_0044,YDR538W and YDR539W,YDR538W and YDR539W,True
r_0045,YLR231C,YLR231C,True
r_0057,YKR009C,YKR009C,True
r_0058,YJR025C,YJR025C,True
r_0059,YER175C,YER175C,True
r_0060,YGL009C,YGL009C,True
r_0061,YCL018W,YCL018W,True
r_0062,YGR087C or YLR044C or YLR134W,YGR087C or YLR044C or YLR134W,True
r_0063,YBR176W,YBR176W,True
r_0064,YDL080C or YGR087C or YLR044C or YLR134W,YDL080C or YGR087C or YLR044C or YLR134W,True
r_0065,YDR127W,YDR127W,True
r_0066,YNR033W,YNR033W,True
r_0067,YMR289W,YMR289W,True
r_0068,YGR019W,YGR019W,True
r_0069,YCR053W,YCR053W,True
r_0070,,,True
r_0072,YDL080C,YDL080C,True
r_0073,YLR410W or YOR163W,YLR410W or YOR163W,True
r_0074,YDR017C,YDR017C,True
r_0075,YLR017W,YLR017W,True
r_0076,YER037W or YGL224C,YER037W or YGL224C,True
r_0077,YOR155C,YOR155C,True
r_0078,YER037W or YGL224C,YER037W or YGL224C,True
r_0079,YGR061C,YGR061C,True
r_0080,(YGL125W and YPL023C) or YGL125W,(YGL125W and YPL023C) or YGL125W,True
r_0081,YDR232W,YDR232W,True
r_0082,YOR163W,YOR163W,True
r_0083,YDR017C,YDR017C,True
r_0084,YER183C,YER183C,True
r_0085,YER091C,YER091C,True
r_0086,YJR024C,YJR024C,True
r_0087,YPR118W,YPR118W,True
r_0088,YLR410W,YLR410W,True
r_0089,YLR410W,YLR410W,True
r_0090,YIL107C or YOL136C,YIL107C or YOL136C,True
r_0091,YGR248W or YHR163W,YGR248W or YHR163W,True
r_0092,YLR410W or YOR163W,YLR410W or YOR163W,True
r_0093,YDR017C,YDR017C,True
r_0094,,,True
r_0095,YGR087C or YLR044C or YLR134W,YGR087C or YLR044C or YLR134W,True
r_0096,YLR355C,YLR355C,True
r_0097,YMR108W and YCL009C,(YCL009C and YMR108W) or YMR108W,False
r_0099,YCL017C and YKL192C and YPL135W and YDL120W and YPL252C and YER048W-A,YKL192C,False
r_0100,YIL160C,YIL160C,True
r_0101,YIL160C,YIL160C,True
r_0102,YIL160C,YIL160C,True
r_0103,YPL028W,YPL028W,True
r_0104,YPL028W,YPL028W,True
r_0105,YIL160C,YIL160C,True
r_0106,YIL160C,YIL160C,True
r_0107,YIL160C,YIL160C,True
r_0108,YMR207C,YMR207C,True
r_0109,YDL141W and YNR016C,YDL141W and YNR016C,True
r_0111,YBL015W,YBL015W,True
r_0112,YAL054C or YLR153C,YAL054C or YLR153C,True
r_0113,YAL054C,YAL054C,True
r_0114,YLR153C,YLR153C,True
r_0115,YJL071W and YER069W,YER069W,False
r_0116,YBR093C or YAR071W or YBR092C or YHR215W,YBR093C or YAR071W or YBR092C or YHR215W,True
r_0117,YPR002W,YPR002W,True
r_0118,YOL140W,YOL140W,True
r_0119,YPL148C,YPL148C,True
r_0120,YGL205W,YGL205W,True
r_0121,YGL205W,YGL205W,True
r_0122,YGL205W,YGL205W,True
r_0123,YGL205W,YGL205W,True
r_0124,YGL205W,YGL205W,True
r_0125,YGL205W,YGL205W,True
