Rxn,Genes,GPRuler rules,Yeast9 rules,Exact Match
r_0001,"[['YDL174C'], ['YDL178W'], ['YEL071W']]",YDL178W or YDL174C or YEL071W,(YDL174C and YEL039C) or (YDL174C and YJR048W) or (YEL039C and YEL071W) or (YEL071W and YJR048W),False
r_0002,"[['YDL174C'], ['YDL178W'], ['YEL071W']]",YDL178W or YDL174C or YEL071W,(YDL178W and YEL039C) or (YDL178W and YJR048W),False
r_0003,[],No Rule,YAL060W,False
r_0004,[['YML054C']],(YML054C),(YEL039C and YML054C) or (YJR048W and YML054C),False
r_0005,"[['YGR032W'], ['YLR342W'], ['YMR306W']]",YLR342W or YMR306W or YGR032W,(YPR165W and YLR342W) or (YPR165W and YGR032W) or (YPR165W and YMR306W),False
r_0006,"[['YGR032W'], ['YLR342W'], ['YMR306W']]",YLR342W or YMR306W or YGR032W,YGR143W or YPR159W,False
r_0012,[],No Rule,YHR037W,False
r_0013,[],No Rule,YEL038W and YMR009W,False
r_0015,[],No Rule,YBR153W,False
r_0016,[],No Rule,(YCL009C and YMR108W) or YMR108W,False
r_0018,[['YGL202W']],(YGL202W),YER152C or YGL202W or YJL060W,False
r_0019,[],No Rule,YHR063C,False
r_0020,[['YDR035W']],(YDR035W),YDR035W or YBR249C,False
r_0021,[],No Rule,YDR204W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C,False
r_0022,[],No Rule,YDR204W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C,False
r_0023,[],No Rule,YGL009C,False
r_0024,[['YNL104C']],(YNL104C),YNL104C or YOR108W,False
r_0025,"[['YNL104C'], ['YOR108W']]",YOR108W or YNL104C,YNL104C,False
r_0026,[],No Rule,YHR208W or YJR148W or YGL202W or YHR137W,False
r_0028,[],No Rule,YPR001W,False
r_0033,[['YOR360C']],(YOR360C),YGL248W or YOR360C,False
r_0034,[],No Rule,YOR360C,False
r_0035,[],No Rule,YOR360C,False
r_0036,[],No Rule,YOR360C,False
r_0037,[],No Rule,YOR360C,False
r_0041,[],No Rule,YBR265W,False
r_0043,[],No Rule,YPL252C or YDR376W,False
r_0044,[],No Rule,YDR538W and YDR539W,False
r_0057,[],No Rule,YKR009C,False
r_0061,[],No Rule,YCL018W,False
r_0064,"[['YLR044C'], ['YLR134W'], ['YGR087C'], ['YDR380W'], ['YDL080C']]",YLR134W or YLR044C or YDR380W or YGR087C or YDL080C,YDL080C or YGR087C or YLR044C or YLR134W,False
r_0069,[],No Rule,YCR053W,False
r_0072,"[['YLR044C'], ['YLR134W'], ['YGR087C'], ['YDL080C'], ['YDR380W']]",YLR134W or YLR044C or YDR380W or YGR087C or YDL080C,YDL080C,False
r_0073,[],No Rule,YLR410W or YOR163W,False
r_0074,[],No Rule,YDR017C,False
r_0076,[['YER037W']],(YER037W),YER037W or YGL224C,False
r_0078,[['YER037W']],(YER037W),YER037W or YGL224C,False
r_0080,[],No Rule,(YGL125W and YPL023C) or YGL125W,False
r_0083,"[['YDR017C'], ['YLR410W']]",YDR017C or YLR410W,YDR017C,False
r_0084,[],No Rule,YER183C,False
r_0088,[],No Rule,YLR410W,False
r_0089,[],No Rule,YLR410W,False
r_0090,"[['YIL107C'], ['YLR345W'], ['YOL136C']]",YLR345W or YIL107C or YOL136C,YIL107C or YOL136C,False
r_0092,[],No Rule,YLR410W or YOR163W,False
r_0093,[],No Rule,YDR017C,False
r_0096,[],No Rule,YLR355C,False
r_0097,[['YMR108W']],(YMR108W),(YCL009C and YMR108W) or YMR108W,False
r_0099,[],No Rule,YKL192C,False
r_0108,"[['YMR207C'], ['YNR016C']]",YNR016C or YMR207C,YMR207C,False
r_0109,"[['YMR207C'], ['YNR016C']]",YNR016C or YMR207C,YDL141W and YNR016C,False
r_0111,"[['YBL015W'], ['YGR015C']]",YGR015C or YBL015W,YBL015W,False
r_0114,"[['YLR153C'], ['YAL054C']]",YAL054C or YLR153C,YLR153C,False
r_0116,[],No Rule,YBR093C or YAR071W or YBR092C or YHR215W,False
r_0117,[],No Rule,YPR002W,False
r_0119,[],No Rule,YPL148C,False
r_0125,[],No Rule,YGL205W,False
r_0126,[],No Rule,YCR048W,False
r_0128,[],No Rule,YCR048W,False
r_0129,"[['YCR048W'], ['YNR019W']]",YNR019W or YCR048W,YCR048W,False
r_0131,[],No Rule,YCR048W,False
r_0132,[['YNR019W']],(YNR019W),YCR048W or YNR019W,False
r_0133,[],No Rule,YCR048W,False
r_0137,[],No Rule,YJL091C,False
r_0140,[],No Rule,YNL141W,False
r_0146,[],No Rule,YNR058W,False
r_0163,[],No Rule,YMR303C,False
r_0164,[],No Rule,YDR368W or YHR104W,False
r_0165,[],No Rule,YGL256W or YMR083W,False
r_0166,[],No Rule,YBR145W or YDL168W or YOL086C,False
r_0167,[],No Rule,YGL256W or YMR083W,False
r_0168,[],No Rule,YCR105W or YDR368W or YMR318C,False
r_0169,[],No Rule,YBR145W or YDL168W or YOL086C,False
r_0170,[],No Rule,YGL256W or YMR083W,False
r_0171,[],No Rule,YCR105W or YMR318C,False
r_0172,[],No Rule,YMR170C or YMR169C,False
r_0173,[],No Rule,YPL061W,False
r_0174,[],No Rule,YOR374W,False
r_0175,[],No Rule,YER073W or YOR374W,False
r_0176,[],No Rule,YOR374W,False
r_0177,[],No Rule,YPL061W,False
r_0178,[],No Rule,YER073W or YOR374W,False
r_0179,[],No Rule,YBR145W or YDL168W or YOL086C,False
r_0180,[],No Rule,YGL256W or YMR083W,False
r_0181,[],No Rule,YCR105W or YMR318C,False
r_0182,[],No Rule,YBR145W or YDL168W or YOL086C,False
r_0183,[],No Rule,YGL256W or YMR083W,False
r_0184,[],No Rule,YCR105W or YMR318C,False
r_0185,[],No Rule,YMR169C or YMR170C,False
r_0186,[],No Rule,YBR145W or YDL168W or YOL086C,False
r_0187,[],No Rule,YGL256W or YMR083W,False
r_0188,[],No Rule,YDR481C,False
r_0192,[],No Rule,YBR199W or YBR205W or YDR483W or YJL139C or YKR061W or YNL029C or YOR099W or YPL053C,False
r_0193,[],No Rule,YPR026W or YBR001C,False
r_0194,"[['YBR001C'], ['YDR001C'], ['YPR026W']]",YDR001C or YBR001C or YPR026W,YDR001C,False
r_0195,"[['YMR261C'], ['YDR074W'], ['YML100W'], ['YBR126C'], ['YBR126C', 'YDR074W', 'YML100W', 'YMR261C']]",(YBR126C and YDR074W and YML100W and YMR261C),(YBR126C and YDR074W and YML100W) or (YBR126C and YDR074W and YMR261C),False
r_0198,[],No Rule,YBR299W or YGR287C or YGR292W or YIL172C or YJL216C or YJL221C,False
r_0199,[],No Rule,YDR242W or YMR293C,False
r_0201,[],No Rule,YOR374W,False
r_0203,"[['YER090W'], ['YKL211C']]",YER090W or YKL211C,YER090W and YKL211C,False
r_0204,[],No Rule,YDR305C,False
r_0205,[],No Rule,YHR104W,False
r_0210,"[['YDR341C'], ['YHR091C']]",YDR341C or YHR091C,YHR091C,False
r_0219,[],No Rule,YDR158W,False
r_0222,"[['YCL050C'], ['YDR530C']]",YCL050C or YDR530C,YDR530C,False
r_0223,[],No Rule,YCL050C,False
r_0224,[],No Rule,YCL050C,False
